claim_id,serial_number,part_number,claim_date,mileage,dealer_id,customer_complaint,technician_notes
WC-2024-00194,PSN-TCM3200-02050,TCM-3200,2025-05-28,121189,DLR-0009,"Brought in on tow, codes keep coming back after clearing, shifting rough. First noticed it yesterday.",TCM-3200 replaced. Main PCB fault confirmed with dealer diagnostic tool. Internal communication errors between processor and solenoid drivers on the PCB. No external damage. Connector pins clean. Board-level failure.
WC-2024-00387,PSN-EXM4100-00616,EXM-4100,2025-06-19,340736,DLR-0005,Driver reports found melted wire loom and discolored paint near manifold. First noticed it yesterday.,"Replaced manifold. Heat Shield mounting tabs fatigued and broken. Shield sagging onto manifold surface. Adjacent electrical connector partially melted. Heat Shield must be replaced, electrical damage is secondary."
WC-2024-00399,PSN-EXM4100-00375,EXM-4100,2025-07-03,209429,DLR-0019,"Exhaust manifold is loose, studs look stretched",EXM-4100 replaced. Two Mounting Stud Kit studs stretched beyond spec. One stud broken flush with block. Manifold was loose causing exhaust leak. Stud failure from thermal cycling.
WC-2024-00151,PSN-TCM3200-04597,TCM-3200,2025-01-12,101529,DLR-0008,"Water got in the trans connector, now intermittent faults","Replaced TCM-3200. Connector Housing seal failed allowing moisture intrusion. Found green corrosion on pins 4, 7, and 12. Water caused intermittent connection. Module internals showed no water damage. Connector failed."
WC-2024-00486,PSN-SGB6500-01995,SGB-6500,2024-11-11,66664,DLR-0004,Driver says since last service steering wheel has excessive free play. First noticed it yesterday.,Replaced SGB-6500 Steering Gear Box. Sector Shaft has excessive spline wear. Measured 0.008 inch play at output vs 0.002 spec. Steering wanders at highway speed requiring constant correction. Sector Shaft wear is root cause.
WC-2024-00388,PSN-EXM4100-03161,EXM-4100,2025-11-11,71246,DLR-0024,Driver reports something smells hot under the hood after a long run. Other trucks in fleet don't do this.,EXM-4100 replaced. Heat Shield deteriorated from thermal cycling. Found warped and cracking at mounting points. Expansion Joint showing accelerated aging from excess heat exposure. Heat Shield is primary failure.
WC-2024-00022,PSN-TC5000-02203,TC-5000,2025-10-18,528207,DLR-0018,"Driver pulled off highway, turbo sounds rough, oil dripping from turbo drain. Truck has 528k miles.","TC-5000 replaced. Bearing Housing failure - excessive shaft radial play measured at 0.015 inches, spec is 0.003 max. Oil drain showed metal contamination. Both wheels have rub marks from shaft deflection. Bearing is root cause."
WC-2024-00051,PSN-TC5000-00127,TC-5000,2025-01-28,126407,DLR-0014,"Came in for PM, driver mentioned turbo sounds like it's coming apart",Replaced TC-5000. Turbine Wheel has visible blade damage - two blades cracked at root. Metal debris found in turbine housing. Bearing Housing contaminated with metal particles. Turbine Wheel fatigue failure is root cause.
WC-2024-00361,PSN-ACM2800-01563,ACM-2800,2024-07-09,555111,DLR-0016,"Fleet down, slow air build up, can hear air leaking at compressor. Happened on I-90 westbound.","ACM-2800 replaced. Piston and Cylinder Kit failure. Piston ring broken into three pieces. Scoring on cylinder wall. Metal debris in discharge. Build time to governor cut-out exceeds 8 minutes, spec is 3."
WC-2024-00069,PSN-TC5000-02361,TC-5000,2024-08-25,442898,DLR-0025,"Brought in on tow, blue smoke at startup and oil everywhere in the intake. Happened on I-90 westbound.",Replaced TC-5000. Compressor Wheel seal failure allowing oil migration into charge air system. Charge air cooler contaminated. Bearing Housing oil seal on compressor side deteriorated. Compressor Wheel inducer shows light rub marks.
WC-2024-00214,PSN-TCM3200-02912,TCM-3200,2024-04-30,380261,DLR-0013,"Called from truck stop, shifting pressure seems off, some gears bang some slip. Happened on I-90 westbound.",Replaced TCM-3200. Pressure Transducer output drifting under temperature. Line pressure reading 40 PSI high at operating temp. External gauge confirms actual pressure is correct. Transducer element failing.
WC-2024-00413,PSN-EXM4100-02751,EXM-4100,2024-08-08,425573,DLR-0021,"Engine running rough, EGR codes showing up. Can't keep running like this.",Replaced EXM-4100. EGR Port Insert heavily carboned causing flow restriction. EGR flow test failed. Insert bore reduced by approximately 40 percent. Engine running rich due to EGR underflow.
WC-2024-00435,PSN-EXM4100-02115,EXM-4100,2024-10-16,325452,DLR-0019,"Fleet down, electrical gremlins started, think something melted near exhaust. Driver wants a different truck.",Replaced EXM-4100. Heat Shield failure exposed adjacent components to direct exhaust heat. Expansion Joint bellows hardened and cracked. Also found early stage heat damage on Pyrometer Boss wiring. Heat Shield root cause.
WC-2024-00031,PSN-TC5000-00931,TC-5000,2025-05-18,565678,DLR-0008,Second time this month. excessive oil consumption and turbo noise,"TC-5000 replaced. Bearing Housing failure - excessive shaft radial play measured at 0.015 inches, spec is 0.003 max. Oil drain showed metal contamination. Both wheels have rub marks from shaft deflection. Bearing is root cause."
WC-2024-00230,PSN-TCM3200-00312,TCM-3200,2025-11-23,471328,DLR-0005,"Driver says since last service limp mode twice this week, no consistent trigger",TCM-3200 replacement. Found Main PCB ground plane deterioration causing erratic sensor readings. Module seeing phantom signals. Pressure Transducer and Temperature Sensor both verified accurate with external gauge. PCB is the problem.
WC-2024-00376,PSN-EXM4100-02868,EXM-4100,2024-05-20,372915,DLR-0002,"Brought in on tow, can smell exhaust in the cab at idle",Replaced EXM-4100. Gasket Set failure at cylinder 3 port. Visible blow-by pattern on gasket surface. Manifold face checked flat. Stud torques were in spec. Gasket material failed.
WC-2024-00215,PSN-TCM3200-01554,TCM-3200,2024-07-19,490655,DLR-0001,"Driver pulled off highway, transmission shifting all over the place randomly. Happened twice today.",Replaced TCM-3200 Transmission Control Module. Main PCB showing intermittent solder joint failures on the main processor. Cold solder joints visible under magnification. Reflowed connections temporarily but failure returned. PCB replacement needed.
WC-2024-00169,PSN-TCM3200-00168,TCM-3200,2025-07-17,383464,DLR-0019,"Driver brought truck in, intermittent limp mode, sometimes clears on restart. Happened twice today.",Replaced module. Main PCB has water intrusion damage despite sealed housing. Suspect condensation from temperature cycling. Corrosion on several IC pins. Connector Housing seal was intact so moisture came from within.
WC-2024-00288,PSN-ACM2800-03831,ACM-2800,2025-10-13,100679,DLR-0014,"Fleet manager called, driver says air pressure won't hold, compressor cycling nonstop. Getting worse every day.",Replaced ACM-2800. Worn Piston and Cylinder Kit caused sustained oil carryover which fouled the Intake Filter and contaminated the Governor diaphragm. Multiple secondary failures all traced back to Piston Kit wear.
WC-2024-00406,PSN-EXM4100-03305,EXM-4100,2025-04-05,155122,DLR-0005,"New driver on this truck reports electrical gremlins started, think something melted near exhaust",Replaced exhaust manifold assembly. Heat Shield material delaminating. Insulation layer gone in two spots. Wiring loom directly above shows melted outer jacket. Heat Shield failure is root cause of thermal damage.
WC-2024-00061,PSN-TC5000-04142,TC-5000,2025-03-03,131349,DLR-0003,"Whining noise from turbo, oil on the exhaust side. Truck was fine last month.","TC-5000 replaced. Bearing Housing failure - excessive shaft radial play measured at 0.015 inches, spec is 0.003 max. Oil drain showed metal contamination. Both wheels have rub marks from shaft deflection. Bearing is root cause."
WC-2024-00448,PSN-SGB6500-01700,SGB-6500,2024-12-19,543527,DLR-0005,"Came in for PM, driver mentioned can't keep the truck in the lane without fighting it",Replaced SGB-6500. Piston and Rack Assembly seal leaking internally. Power assist working but steering wanders as fluid bypasses the piston. External leak test passed. Internal bypass confirmed on bench.
WC-2024-00457,PSN-SGB6500-03500,SGB-6500,2024-10-11,486628,DLR-0018,"Customer complaint: truck pulls to one side, steering feels loose. Truck was fine last month.",Replaced SGB-6500. Piston and Rack Assembly seal leaking internally. Power assist working but steering wanders as fluid bypasses the piston. External leak test passed. Internal bypass confirmed on bench.
WC-2024-00468,PSN-SGB6500-01944,SGB-6500,2024-12-18,142717,DLR-0011,"Fleet manager called, driver says steering wanders badly at highway speed. Getting worse every day.",Replaced SGB-6500. Piston and Rack Assembly seal leaking internally. Power assist working but steering wanders as fluid bypasses the piston. External leak test passed. Internal bypass confirmed on bench.
WC-2024-00299,PSN-ACM2800-01364,ACM-2800,2023-12-02,632822,DLR-0023,Driver reports hissing from the compressor head area. Truck has 632k miles.,Replaced ACM-2800. Compressor Head cracked at discharge port. Audible air leak when compressor loaded. Head gasket intact but head casting has fatigue crack. Compressor Head failure.
WC-2024-00411,PSN-EXM4100-00040,EXM-4100,2024-10-19,182226,DLR-0012,"Second time this month. exhaust leak sound at the manifold, louder when cold. Need this truck back ASAP.",Replaced EXM-4100. Gasket Set failure at cylinder 3 port. Visible blow-by pattern on gasket surface. Manifold face checked flat. Stud torques were in spec. Gasket material failed.
WC-2024-00068,PSN-TC5000-01554,TC-5000,2025-01-29,489214,DLR-0013,"Driver brought truck in, cEL on, codes pointing to turbo, power is way down. Been like this for about a week.",Replaced TC-5000 Turbocharger Assembly. Found VGT Actuator stuck in partially open position. Vane ring not responding to electronic commands. Actuator rod showed signs of carbon buildup preventing full travel. No other sub-components showed damage.
WC-2024-00079,PSN-TC5000-01876,TC-5000,2025-05-29,78457,DLR-0022,"Driver pulled off highway, metal grinding sound that gets louder with RPM. Happened on I-90 westbound.",TC-5000 assembly replaced. Turbine Wheel failure - blade liberation event. One blade missing entirely. Scoring on housing bore. Oil Feed Line intact. Compressor side undamaged. FOD from turbine side only.
WC-2024-00393,PSN-EXM4100-02509,EXM-4100,2025-12-13,500763,DLR-0009,Second time this month. visible crack in the exhaust manifold. Started after fueling up.,EXM-4100 replaced. Found hairline crack in Manifold Casting at EGR port junction. Crack not visible externally but confirmed with dye penetrant. Casting defect at stress riser.
WC-2024-00014,PSN-TC5000-01623,TC-5000,2025-01-07,274222,DLR-0014,"Customer complaint: truck won't pull grades anymore, used to be fine. Started after fueling up.",TC-5000 replaced due to VGT Actuator failure. Actuator motor drawing excessive current. Position feedback erratic. Inspected turbine and compressor wheels - no contact damage. Oil feed line clear.
WC-2024-00250,PSN-TCM3200-01351,TCM-3200,2025-07-29,247079,DLR-0017,"Fleet manager called, driver says truck goes into limp mode for no reason then comes back. Driver wants a different truck.",TCM-3200 replaced. Main PCB fault confirmed with dealer diagnostic tool. Internal communication errors between processor and solenoid drivers on the PCB. No external damage. Connector pins clean. Board-level failure.
WC-2024-00008,PSN-TC5000-00711,TC-5000,2025-09-22,103091,DLR-0012,"Driver brought truck in, power drops off randomly during acceleration. Other trucks in fleet don't do this.",TC-5000 replaced. VGT Actuator seized causing uncontrolled boost. Extended over-boost condition led to Turbine Wheel tip contact with housing. Found aluminum transfer marks on turbine housing bore. VGT failure initiated the cascade.
WC-2024-00256,PSN-TCM3200-02213,TCM-3200,2025-03-14,569584,DLR-0014,"Fleet down, truck rolls before transmission catches when starting out. First noticed it yesterday.",Replaced TCM-3200. Solenoid Pack failure - shift solenoid B stuck closed. Resistance out of spec at 2.1 ohms vs 5.5 spec. Clean break in coil winding. Main PCB tested normal with substitute solenoid. Solenoid is the failure.
WC-2024-00126,PSN-TC5000-02492,TC-5000,2025-01-26,253887,DLR-0006,"Fleet down, blue smoke at startup and oil everywhere in the intake. Worse in cold weather.",Replaced TC-5000. Compressor Wheel seal failure allowing oil migration into charge air system. Charge air cooler contaminated. Bearing Housing oil seal on compressor side deteriorated. Compressor Wheel inducer shows light rub marks.
WC-2024-00108,PSN-TC5000-00472,TC-5000,2024-01-14,250459,DLR-0023,"Second time this month. turbo whine getting louder, shaft play when I checked. Other trucks in fleet don't do this.",Replaced turbo. Bearing Housing oil seal failure on exhaust side causing external oil leak and smoke. Shaft play at limit. Oil Feed Line flow tested normal. Bearing wear is the failure.
WC-2024-00356,PSN-ACM2800-02779,ACM-2800,2025-02-24,299880,DLR-0010,"Customer says air compressor cycling rapidly, never settles. Started after fueling up.",Replaced ACM-2800. Governor not maintaining proper cut-in and cut-out pressure. Cycling between 95 and 105 PSI instead of 100 and 130. Diaphragm has small tear. Governor failure only.
WC-2024-00095,PSN-TC5000-04006,TC-5000,2025-01-11,431708,DLR-0021,"Driver pulled off highway, burning smell from engine, found melted wire loom near turbo. Been like this for about a week.","Replaced TC-5000 due to heat damage. Heat Shield cracked and separated allowing exhaust temps to damage adjacent wiring and the VGT Actuator connector. Heat Shield is primary failure, VGT connector melted as secondary damage."
WC-2024-00392,PSN-EXM4100-04362,EXM-4100,2024-02-23,76964,DLR-0015,"Driver pulled off highway, hissing from the turbo connection on the manifold. Happened on I-90 westbound.",Replaced EXM-4100. Expansion Joint bellows cracked circumferentially. Exhaust leak at turbo interface. Joint lost flexibility from age and thermal cycles. No other manifold damage.
WC-2024-00319,PSN-ACM2800-01839,ACM-2800,2025-08-07,280363,DLR-0011,"Road call. air compressor cycling rapidly, never settles. First noticed it yesterday.",Replaced ACM-2800. Governor not maintaining proper cut-in and cut-out pressure. Cycling between 95 and 105 PSI instead of 100 and 130. Diaphragm has small tear. Governor failure only.
WC-2024-00334,PSN-ACM2800-04750,ACM-2800,2025-05-27,464864,DLR-0024,"Fleet down, air pressure drops when sitting at idle. Happened twice today.",ACM-2800 replaced due to Piston and Cylinder Kit wear. Build time to 120 PSI over 7 minutes. Spec is under 3 minutes. Bore measurement confirms taper and out of round. Governor cutting in and out normally.
WC-2024-00148,PSN-TC5000-00926,TC-5000,2024-07-13,118985,DLR-0008,"Driver pulled off highway, wiring near turbo melted, electrical issues started. Happened on I-90 westbound.","Replaced TC-5000 due to heat damage. Heat Shield cracked and separated allowing exhaust temps to damage adjacent wiring and the VGT Actuator connector. Heat Shield is primary failure, VGT connector melted as secondary damage."
WC-2024-00037,PSN-TC5000-01266,TC-5000,2024-02-20,639732,DLR-0005,Driver reports metal grinding sound that gets louder with RPM. Truck was fine last month.,Replaced TC-5000. Turbine Wheel has visible blade damage - two blades cracked at root. Metal debris found in turbine housing. Bearing Housing contaminated with metal particles. Turbine Wheel fatigue failure is root cause.
WC-2024-00476,PSN-SGB6500-01703,SGB-6500,2025-03-11,129089,DLR-0013,"Brought in on tow, power steering line fitting is weeping fluid. Worse when hot outside.",SGB-6500 replaced. Hydraulic Fitting Set pressure line fitting cracked. Slow fluid loss causing intermittent hard steering. Found fluid puddle at fitting. O-ring also deteriorated. Fitting replacement attempted but threads damaged.
WC-2024-00067,PSN-TC5000-00377,TC-5000,2025-10-14,352120,DLR-0018,"Brought in on tow, engine derate on grades, turbo whistle sounds wrong. Been like this for about a week.","Replaced turbo assembly. VGT Actuator failed causing erratic boost. Prolonged operation in this condition caused excessive heat cycling on the Heat Shield which is now warped and cracking. VGT Actuator is root cause, Heat Shield is collateral damage."
WC-2024-00188,PSN-TCM3200-00783,TCM-3200,2024-04-30,57399,DLR-0021,"Check trans light intermittent, shifts hard when it comes on. First noticed it yesterday.",Replaced TCM-3200. Main PCB fault causing erratic pressure commands. Extended operation burned out the Pressure Transducer from constant overcurrent sensing requests. Main PCB failure is primary.
WC-2024-00181,PSN-TCM3200-03938,TCM-3200,2024-05-26,494883,DLR-0014,"Driver reports engagement feels soft, like it slips before grabbing. Getting worse every day.",TCM-3200 replaced. Solenoid Pack engagement delay caused by weak spring return on the main clutch solenoid. Response time measured at 340ms vs 80ms spec. Electrical values normal but mechanical response degraded.
WC-2024-00089,PSN-TC5000-01855,TC-5000,2025-11-18,555855,DLR-0025,"New driver on this truck reports whining noise from turbo, oil on the exhaust side. Third driver to complain about this unit.",Replaced turbo. Bearing Housing oil seal failure on exhaust side causing external oil leak and smoke. Shaft play at limit. Oil Feed Line flow tested normal. Bearing wear is the failure.
WC-2024-00213,PSN-TCM3200-00717,TCM-3200,2024-11-25,409695,DLR-0008,"Customer complaint: shifts are rough one day smooth the next, no pattern",Replaced module. Main PCB has water intrusion damage despite sealed housing. Suspect condensation from temperature cycling. Corrosion on several IC pins. Connector Housing seal was intact so moisture came from within.
WC-2024-00436,PSN-EXM4100-02242,EXM-4100,2025-02-04,145109,DLR-0003,Driver says since last service can smell exhaust in the cab at idle. Truck was fine last month.,Replaced EXM-4100. Gasket Set failure at cylinder 3 port. Visible blow-by pattern on gasket surface. Manifold face checked flat. Stud torques were in spec. Gasket material failed.
WC-2024-00204,PSN-TCM3200-04932,TCM-3200,2025-03-02,232104,DLR-0010,"Second time this month. random gear hunting on the highway, cruise control on. Worse when hot outside.",Replaced module. Main PCB has water intrusion damage despite sealed housing. Suspect condensation from temperature cycling. Corrosion on several IC pins. Connector Housing seal was intact so moisture came from within.
WC-2024-00080,PSN-TC5000-01393,TC-5000,2025-03-17,546858,DLR-0010,"Lost power on mountain grade, barely made it to the top. Started after fueling up.","TC-5000 replaced. VGT Actuator calibration way off, could not recalibrate with scan tool. Suspect internal potentiometer failure. All other turbo components inspected and within spec."
WC-2024-00445,PSN-SGB6500-03659,SGB-6500,2025-04-19,48508,DLR-0008,Second time this month. moaning sound from steering gearbox on turns. Third driver to complain about this unit.,Replaced SGB-6500. Spool Valve sticking causing groaning noise during turns. Valve spool has scoring marks. Contamination in hydraulic fluid scratched valve bore. Flow control erratic.
WC-2024-00294,PSN-ACM2800-00948,ACM-2800,2024-03-28,63823,DLR-0010,"Repeat visit. takes 10 minutes to build air, used to take 3. Started after fueling up.",Replaced air compressor. Piston and Cylinder Kit causing slow build. Driver reports low air warnings during stop and go driving. Compressor output insufficient for brake system demand. Kit is shot.
WC-2024-00177,PSN-TCM3200-01994,TCM-3200,2024-11-23,185088,DLR-0022,"Repeat visit. intermittent limp mode, sometimes clears on restart. Truck was fine last month.",Removed failed TCM-3200. Main PCB relay on the board clicking but not making consistent contact. Causes momentary power loss to solenoid drivers. Random harsh shift complaints match relay dropout pattern.
WC-2024-00161,PSN-TCM3200-00964,TCM-3200,2025-01-12,470201,DLR-0003,"Driver brought truck in, random gear hunting on the highway, cruise control on. Worse in cold weather.",Replaced TCM-3200. Main PCB fault causing erratic pressure commands. Extended operation burned out the Pressure Transducer from constant overcurrent sensing requests. Main PCB failure is primary.
WC-2024-00343,PSN-ACM2800-01749,ACM-2800,2025-10-22,214199,DLR-0005,Customer says air leak in the line between compressor and first tank. Worse when hot outside.,"Replaced ACM-2800. Discharge Line Assembly has cracked fitting at compressor outlet. Air leak under pressure. Line vibration fatigue at the connection point. Tightening didn't help, fitting is cracked."
WC-2024-00165,PSN-TCM3200-02940,TCM-3200,2024-07-07,562050,DLR-0001,Repeat visit. truck rolls before transmission catches when starting out. Been like this for about a week.,TCM-3200 replaced. Solenoid Pack engagement delay caused by weak spring return on the main clutch solenoid. Response time measured at 340ms vs 80ms spec. Electrical values normal but mechanical response degraded.
WC-2024-00084,PSN-TC5000-00484,TC-5000,2024-05-06,534780,DLR-0014,"Driver brought truck in, oil in the intake piping, turbo seems to be leaking. Need this truck back ASAP.",Replaced TC-5000. Compressor Wheel seal failure allowing oil migration into charge air system. Charge air cooler contaminated. Bearing Housing oil seal on compressor side deteriorated. Compressor Wheel inducer shows light rub marks.
WC-2024-00238,PSN-TCM3200-04639,TCM-3200,2024-12-15,526937,DLR-0006,"Fleet manager called, driver says transmission shifting all over the place randomly",Replaced TCM-3200. Main PCB driver circuit for shift solenoids failing intermittently. Module commands gear change but signal never reaches solenoid. Internal board trace issue. Solenoid Pack tested independently and works fine.
WC-2024-00196,PSN-TCM3200-03537,TCM-3200,2025-04-03,408295,DLR-0001,Road call. transmission loses communication going over railroad tracks. Been like this for about a week.,Replaced TCM-3200. Found Wiring Harness chafed against frame bracket. Intermittent short on CAN bus line causing communication dropouts. Repaired harness routing but replaced module as precaution due to possible ECM damage from shorts.
